MID	START	END	TIME	F1	F2	F3	PAT	T1	T2	T3	T4	T5	Q1c1	Q1c2	Q1c3	Q1c4	Q1c5	Q2s1	Q2s2	Q2s3	Q2s4	Q2s5	Q3s1	Q3s2	Q3s3	Q3s4	Q3s5	Q4s1c1	Q4s1c2	Q4s1c3	Q4s1c4	Q4s1c5	Q4s2c1	Q4s2c2	Q4s2c3	Q4s2c4	Q4s2c5	Q4s3c1	Q4s3c2	Q4s3c3	Q4s3c4	Q4s3c5	Q4s4c1	Q4s4c2	Q4s4c3	Q4s4c4	Q4s4c5	Q4s5c1	Q4s5c2	Q4s5c3	Q4s5c4	Q4s5c5
1139	2025/11/02 15:20:15	2025/11/02 15:26:16	361	1	50	4	12	140	154	106	285	190	1	0	1	0	1	4	0	4	0	2	4	0	5	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1140	2025/11/02 18:01:32	2025/11/02 18:09:24	472	1	51	4	12	140	154	106	285	190	1	1	0	0	1	3	5	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
1141	2025/11/02 22:04:47	2025/11/02 22:15:25	638	1	63	5	12	140	154	106	285	190	1	1	0	0	1	3	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1142	2025/11/04 07:55:57	2025/11/04 08:04:31	514	1	60	5	12	140	154	106	285	190	1	0	0	1	1	2	0	0	4	4	0	0	0	4	5	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1
1143	2025/11/06 08:01:39	2025/11/06 08:15:14	815	1	62	5	12	140	154	106	285	190	1	0	1	1	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1144	2025/11/02 03:15:32	2025/11/02 03:28:40	788	1	67	5	12	140	154	106	285	190	1	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1145	2025/11/06 08:18:01	2025/11/06 08:25:12	431	1	68	5	12	140	154	106	285	190	1	0	1	1	1	4	0	3	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1146	2025/11/02 04:34:38	2025/11/02 04:40:49	371	1	64	5	12	140	154	106	285	190	1	0	1	0	1	5	0	5	0	4	5	0	5	0	5	1	0	0	0	0	1	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	0	1	0	0
1147	2025/11/06 21:13:55	2025/11/06 21:24:04	609	1	64	5	12	140	154	106	285	190	1	1	0	1	1	3	3	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1148	2025/11/01 18:40:56	2025/11/01 18:54:37	821	1	67	5	12	140	154	106	285	190	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1149	2025/11/05 23:22:55	2025/11/05 23:29:36	401	1	65	5	12	140	154	106	285	190	1	0	1	0	1	3	0	4	0	4	0	0	5	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1150	2025/11/03 03:01:22	2025/11/03 03:09:43	501	1	60	5	12	140	154	106	285	190	1	1	1	0	1	3	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1151	2025/11/01 18:37:37	2025/11/01 18:45:55	498	2	29	1	12	140	154	106	285	190	0	1	0	0	1	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1152	2025/11/02 13:49:54	2025/11/02 13:56:26	392	2	29	1	12	140	154	106	285	190	1	1	0	0	1	2	4	0	0	3	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
1153	2025/11/04 11:49:56	2025/11/04 11:57:14	438	2	21	1	12	140	154	106	285	190	1	0	1	1	1	4	0	3	2	3	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
1154	2025/11/02 00:07:45	2025/11/02 00:12:00	255	2	20	1	12	140	154	106	285	190	1	0	1	1	1	5	0	2	3	3	3	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
1155	2025/11/04 21:12:16	2025/11/04 21:19:38	442	2	21	1	12	140	154	106	285	190	1	0	1	0	1	4	0	3	0	3	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
1156	2025/11/07 02:14:39	2025/11/07 02:24:22	583	2	22	1	12	140	154	106	285	190	1	1	1	0	1	4	3	3	0	3	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
1157	2025/11/07 08:10:29	2025/11/07 08:21:20	651	2	21	1	12	140	154	106	285	190	1	1	0	0	1	4	3	0	0	4	2	0	0	0	4	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
1158	2025/11/02 15:26:55	2025/11/02 15:34:43	468	2	28	1	12	140	154	106	285	190	1	1	0	1	1	4	4	0	3	3	4	2	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0
1159	2025/11/03 23:37:49	2025/11/03 23:49:08	679	2	23	1	12	140	154	106	285	190	1	1	1	0	0	4	4	5	0	0	5	3	5	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0
1160	2025/11/06 19:40:04	2025/11/06 19:50:43	639	2	26	1	12	140	154	106	285	190	0	1	1	0	1	0	5	3	0	4	0	1	0	0	5	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1
1161	2025/11/04 21:33:00	2025/11/04 21:43:57	657	2	34	2	12	140	154	106	285	190	1	0	0	0	1	4	0	0	0	3	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
1162	2025/11/01 20:54:44	2025/11/01 21:01:24	400	2	34	2	12	140	154	106	285	190	1	0	0	1	1	5	0	0	2	2	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1163	2025/11/04 21:08:27	2025/11/04 21:12:53	266	2	35	2	12	140	154	106	285	190	1	1	0	1	1	3	3	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1164	2025/11/04 16:34:19	2025/11/04 16:39:38	319	2	38	2	12	140	154	106	285	190	1	1	1	0	1	2	5	2	0	2	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
1165	2025/11/06 01:52:11	2025/11/06 01:56:15	244	2	37	2	12	140	154	106	285	190	0	1	0	0	0	0	4	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
1166	2025/11/06 03:08:32	2025/11/06 03:15:53	441	2	36	2	12	140	154	106	285	190	1	1	0	1	1	3	4	0	3	2	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
1167	2025/11/04 03:59:37	2025/11/04 04:05:59	382	2	36	2	12	140	154	106	285	190	1	0	0	0	1	3	0	0	0	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
1168	2025/11/05 17:39:16	2025/11/05 17:48:15	539	2	34	2	12	140	154	106	285	190	1	1	1	0	1	5	3	2	0	3	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
1169	2025/11/06 02:01:24	2025/11/06 02:09:36	492	2	39	2	12	140	154	106	285	190	1	1	1	0	1	4	4	4	0	3	5	4	5	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0
1170	2025/11/03 02:12:14	2025/11/03 02:26:06	832	2	36	2	12	140	154	106	285	190	1	0	0	0	1	5	0	0	0	2	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1171	2025/11/03 19:51:56	2025/11/03 20:05:13	797	2	40	3	12	140	154	106	285	190	0	0	1	0	1	0	0	5	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1172	2025/11/01 17:43:32	2025/11/01 17:51:06	454	2	44	3	12	140	154	106	285	190	1	1	1	0	0	4	5	4	0	0	1	2	5	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0
1173	2025/11/07 06:21:39	2025/11/07 06:34:32	773	2	47	3	12	140	154	106	285	190	1	0	1	1	0	2	0	4	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
1174	2025/11/03 16:25:25	2025/11/03 16:34:26	541	2	40	3	12	140	154	106	285	190	1	1	1	0	0	5	5	3	0	0	5	4	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0
1175	2025/11/03 09:16:39	2025/11/03 09:21:31	292	2	41	3	12	140	154	106	285	190	1	0	0	1	1	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1176	2025/11/02 10:33:32	2025/11/02 10:46:00	748	2	49	3	12	140	154	106	285	190	1	0	1	0	1	5	0	3	0	3	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1177	2025/11/03 17:51:36	2025/11/03 18:05:55	859	2	43	3	12	140	154	106	285	190	1	0	0	1	1	3	0	0	4	2	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
1178	2025/11/02 06:12:39	2025/11/02 06:19:47	428	2	46	3	12	140	154	106	285	190	1	0	1	1	1	2	0	3	2	4	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1179	2025/11/02 17:24:04	2025/11/02 17:28:09	245	2	44	3	12	140	154	106	285	190	0	1	0	0	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
1180	2025/11/07 07:47:26	2025/11/07 07:58:27	661	2	45	3	12	140	154	106	285	190	1	0	0	0	0	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
1181	2025/11/02 08:29:47	2025/11/02 08:36:10	383	2	59	4	12	140	154	106	285	190	1	0	1	0	1	4	0	2	0	3	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
1182	2025/11/01 14:40:54	2025/11/01 14:54:21	807	2	59	4	12	140	154	106	285	190	1	0	1	1	0	3	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1183	2025/11/06 13:13:34	2025/11/06 13:22:55	561	2	51	4	12	140	154	106	285	190	1	0	0	0	1	4	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1184	2025/11/04 08:16:13	2025/11/04 08:29:42	809	2	55	4	12	140	154	106	285	190	0	0	1	1	1	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1185	2025/11/01 12:27:21	2025/11/01 12:36:28	547	2	55	4	12	140	154	106	285	190	1	1	0	0	1	4	4	0	0	3	5	2	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
1186	2025/11/02 17:30:59	2025/11/02 17:35:22	263	2	59	4	12	140	154	106	285	190	1	0	1	0	1	2	0	4	0	3	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
1187	2025/11/06 20:47:08	2025/11/06 20:58:43	695	2	54	4	12	140	154	106	285	190	1	0	1	0	1	5	0	3	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
1188	2025/11/04 20:52:24	2025/11/04 20:56:24	240	2	55	4	12	140	154	106	285	190	1	0	1	0	1	3	0	3	0	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
1189	2025/11/02 19:00:36	2025/11/02 19:12:19	703	2	56	4	12	140	154	106	285	190	1	1	0	1	1	3	4	0	3	5	0	5	0	0	4	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
1190	2025/11/06 01:42:11	2025/11/06 01:54:41	750	2	52	4	12	140	154	106	285	190	1	1	0	0	1	3	3	0	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
1191	2025/11/03 09:12:16	2025/11/03 09:22:06	590	2	67	5	12	140	154	106	285	190	1	0	0	1	1	4	0	0	1	4	4	0	0	0	5	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1
1192	2025/11/05 00:20:59	2025/11/05 00:29:57	538	2	69	5	12	140	154	106	285	190	1	0	0	1	1	4	0	0	2	3	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
1193	2025/11/02 08:00:01	2025/11/02 08:05:42	341	2	61	5	12	140	154	106	285	190	1	0	0	0	1	4	0	0	0	4	1	0	0	0	5	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1
1194	2025/11/07 06:26:16	2025/11/07 06:33:56	460	2	65	5	12	140	154	106	285	190	1	1	1	1	1	4	5	3	3	3	5	4	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0
1195	2025/11/03 23:39:54	2025/11/03 23:45:35	341	2	69	5	12	140	154	106	285	190	1	1	1	0	1	3	3	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1196	2025/11/05 00:20:16	2025/11/05 00:29:32	556	2	62	5	12	140	154	106	285	190	1	1	0	0	1	5	4	0	0	2	5	4	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0
1197	2025/11/05 20:47:00	2025/11/05 20:53:01	361	2	67	5	12	140	154	106	285	190	1	0	1	0	1	5	0	3	0	3	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
1198	2025/11/05 07:23:12	2025/11/05 07:34:20	668	2	69	5	12	140	154	106	285	190	1	1	1	0	0	3	3	4	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1199	2025/11/05 11:59:46	2025/11/05 12:11:18	692	2	69	5	12	140	154	106	285	190	1	0	1	1	1	4	0	4	3	2	4	0	5	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0
1200	2025/11/01 13:12:41	2025/11/01 13:20:51	490	2	66	5	12	140	154	106	285	190	1	1	0	0	1	4	4	0	0	3	5	4	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0
1201	2025/11/05 08:59:23	2025/11/05 09:12:50	807	1	25	1	13	233	244	47	257	229	1	0	1	0	0	3	0	4	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1202	2025/11/02 08:50:08	2025/11/02 09:01:26	678	1	29	1	13	233	244	47	257	229	1	1	1	0	1	3	3	4	0	3	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
1203	2025/11/03 18:07:32	2025/11/03 18:16:53	561	1	20	1	13	233	244	47	257	229	0	1	1	1	1	0	2	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1204	2025/11/06 05:49:27	2025/11/06 06:03:18	831	1	26	1	13	233	244	47	257	229	1	1	1	1	0	2	5	1	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1205	2025/11/06 00:32:40	2025/11/06 00:38:49	369	1	29	1	13	233	244	47	257	229	0	0	1	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1206	2025/11/05 02:24:14	2025/11/05 02:35:45	691	1	24	1	13	233	244	47	257	229	0	1	1	1	1	0	3	4	1	3	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1207	2025/11/05 13:25:35	2025/11/05 13:29:41	246	1	20	1	13	233	244	47	257	229	1	1	1	0	0	4	3	2	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0
1208	2025/11/06 11:27:41	2025/11/06 11:34:08	387	1	20	1	13	233	244	47	257	229	0	1	1	0	0	0	3	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
1209	2025/11/03 20:16:23	2025/11/03 20:31:08	885	1	28	1	13	233	244	47	257	229	1	1	0	0	1	3	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1210	2025/11/07 08:57:06	2025/11/07 09:03:27	381	1	28	1	13	233	244	47	257	229	0	0	1	0	1	0	0	5	0	2	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
1211	2025/11/05 22:37:31	2025/11/05 22:45:08	457	1	36	2	13	233	244	47	257	229	1	1	1	1	0	5	5	2	3	0	5	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
1212	2025/11/03 01:46:04	2025/11/03 01:59:45	821	1	36	2	13	233	244	47	257	229	0	1	0	1	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1213	2025/11/04 19:07:39	2025/11/04 19:15:19	460	1	30	2	13	233	244	47	257	229	1	0	0	0	1	4	0	0	0	2	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1214	2025/11/01 16:06:18	2025/11/01 16:13:59	461	1	30	2	13	233	244	47	257	229	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1215	2025/11/01 17:55:13	2025/11/01 18:04:01	528	1	34	2	13	233	244	47	257	229	1	1	1	1	1	5	4	4	2	4	4	5	4	0	4	0	1	1	0	0	1	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0
1216	2025/11/04 07:26:55	2025/11/04 07:32:40	345	1	31	2	13	233	244	47	257	229	1	1	1	1	0	2	3	5	3	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
1217	2025/11/01 18:33:51	2025/11/01 18:45:58	727	1	34	2	13	233	244	47	257	229	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1218	2025/11/03 12:55:28	2025/11/03 13:10:27	899	1	34	2	13	233	244	47	257	229	1	0	1	1	1	4	0	3	3	3	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
1219	2025/11/06 20:51:41	2025/11/06 21:03:54	733	1	35	2	13	233	244	47	257	229	1	1	1	0	1	4	2	4	0	2	3	0	5	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0
1220	2025/11/03 15:01:37	2025/11/03 15:06:39	302	1	34	2	13	233	244	47	257	229	1	1	1	0	1	3	3	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
1221	2025/11/04 03:30:31	2025/11/04 03:38:20	469	1	44	3	13	233	244	47	257	229	1	0	1	1	1	3	0	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1222	2025/11/05 23:40:35	2025/11/05 23:53:08	753	1	45	3	13	233	244	47	257	229	1	1	1	1	1	3	3	4	3	3	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
1223	2025/11/03 03:16:23	2025/11/03 03:28:43	740	1	42	3	13	233	244	47	257	229	1	0	1	0	1	4	0	2	0	3	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1224	2025/11/02 00:46:39	2025/11/02 00:57:04	625	1	40	3	13	233	244	47	257	229	1	0	1	1	0	3	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1225	2025/11/05 01:45:01	2025/11/05 01:55:27	626	1	41	3	13	233	244	47	257	229	1	1	1	1	1	3	2	5	2	5	0	0	5	0	5	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1
1226	2025/11/03 02:26:07	2025/11/03 02:38:16	729	1	48	3	13	233	244	47	257	229	0	1	1	1	0	0	2	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1227	2025/11/07 02:34:46	2025/11/07 02:44:22	576	1	48	3	13	233	244	47	257	229	1	0	1	1	0	3	0	4	2	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
1228	2025/11/04 18:01:04	2025/11/04 18:08:32	448	1	41	3	13	233	244	47	257	229	1	1	1	1	1	3	4	4	3	4	0	5	5	0	5	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
1229	2025/11/03 18:12:44	2025/11/03 18:25:55	791	1	41	3	13	233	244	47	257	229	1	0	1	1	0	3	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1230	2025/11/06 17:14:37	2025/11/06 17:21:01	384	1	45	3	13	233	244	47	257	229	1	1	1	1	0	3	3	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1231	2025/11/03 10:12:47	2025/11/03 10:21:33	526	1	52	4	13	233	244	47	257	229	1	1	0	1	0	3	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1232	2025/11/05 14:22:23	2025/11/05 14:29:45	442	1	50	4	13	233	244	47	257	229	0	1	1	0	1	0	2	2	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1233	2025/11/04 17:32:34	2025/11/04 17:44:08	694	1	55	4	13	233	244	47	257	229	1	0	0	1	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1234	2025/11/05 06:44:42	2025/11/05 06:52:38	476	1	55	4	13	233	244	47	257	229	1	0	1	0	0	3	0	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
1235	2025/11/02 20:18:29	2025/11/02 20:29:36	667	1	54	4	13	233	244	47	257	229	1	0	1	0	0	2	0	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
1236	2025/11/05 14:34:02	2025/11/05 14:42:24	502	1	52	4	13	233	244	47	257	229	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1237	2025/11/06 09:36:59	2025/11/06 09:42:29	330	1	56	4	13	233	244	47	257	229	1	1	1	1	0	3	5	1	4	0	0	5	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
1238	2025/11/05 19:05:29	2025/11/05 19:11:15	346	1	58	4	13	233	244	47	257	229	1	1	1	0	1	1	3	5	0	4	0	0	1	0	2	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1
1239	2025/11/02 08:08:37	2025/11/02 08:15:45	428	1	51	4	13	233	244	47	257	229	1	1	1	0	1	3	2	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1240	2025/11/03 18:33:04	2025/11/03 18:42:36	572	1	52	4	13	233	244	47	257	229	1	0	1	0	0	3	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0
1241	2025/11/04 06:56:40	2025/11/04 07:08:36	716	1	68	5	13	233	244	47	257	229	1	1	1	0	1	3	3	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1242	2025/11/04 14:30:26	2025/11/04 14:34:51	265	1	64	5	13	233	244	47	257	229	1	0	0	0	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1243	2025/11/07 02:56:58	2025/11/07 03:07:34	636	1	65	5	13	233	244	47	257	229	1	0	1	1	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
