MID	START	END	TIME	F1	F2t1	F3	PATt1	T1t1	T2t1	T3t1	T4t1	T5t1	Q1c1	Q1c2	Q1c3	Q1c4	Q1c5	Q2s1	Q2s2	Q2s3	Q2s4	Q2s5	Q3s1	Q3s2	Q3s3	Q3s4	Q3s5	Q4s1c1	Q4s1c2	Q4s1c3	Q4s1c4	Q4s1c5	Q4s2c1	Q4s2c2	Q4s2c3	Q4s2c4	Q4s2c5	Q4s3c1	Q4s3c2	Q4s3c3	Q4s3c4	Q4s3c5	Q4s4c1	Q4s4c2	Q4s4c3	Q4s4c4	Q4s4c5	Q4s5c1	Q4s5c2	Q4s5c3	Q4s5c4	Q4s5c5	STA	ê´ï 	îNóÓ 
701	2025/11/04-10:47:45	2025/11/04-10:54:34	0:6:49	1	21	1	8	182	253	108	116	49	1	1	0	1	1	5	2	0	3	3	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	COMP	1	21
702	2025/11/06-17:40:25	2025/11/06-17:51:53	0:11:28	1	28	1	8	182	253	108	116	49	0	1	1	1	1	0	4	3	2	4	0	2	0	0	5	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	COMP	1	28
703	2025/11/03-21:55:49	2025/11/03-22:09:31	0:13:42	1	29	1	8	182	253	108	116	49	1	0	0	1	1	3	0	0	4	4	0	0	0	1	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	COMP	1	29
704	2025/11/03-15:11:36	2025/11/03-15:23:36	0:12:0	1	26	1	8	182	253	108	116	49	0	1	1	0	0	0	2	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	26
705	2025/11/02-20:43:26	2025/11/02-20:51:17	0:7:51	1	22	1	8	182	253	108	116	49	0	1	1	0	1	0	5	3	0	5	0	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	COMP	1	22
706	2025/11/03-09:14:11	2025/11/03-09:23:17	0:9:6	1	23	1	8	182	253	108	116	49	1	1	1	0	1	4	2	5	0	2	5	0	5	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	COMP	1	23
707	2025/11/02-09:00:52	2025/11/02-09:10:36	0:9:44	1	29	1	8	182	253	108	116	49	1	1	1	1	1	4	3	3	2	3	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	COMP	1	29
708	2025/11/02-04:26:23	2025/11/02-04:35:21	0:8:58	1	28	1	8	182	253	108	116	49	0	1	0	0	1	0	3	0	0	4	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	28
709	2025/11/02-12:59:53	2025/11/02-13:06:47	0:6:54	1	22	1	8	182	253	108	116	49	0	0	1	1	1	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	22
710	2025/11/04-04:19:57	2025/11/04-04:34:17	0:14:20	1	22	1	8	182	253	108	116	49	0	1	0	1	1	0	3	0	3	5	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	COMP	1	22
711	2025/11/05-08:10:16	2025/11/05-08:21:06	0:10:50	1	36	2	8	182	253	108	116	49	1	0	0	0	1	4	0	0	0	5	4	0	0	0	5	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	COMP	1	36
712	2025/11/07-00:25:21	2025/11/07-00:40:20	0:14:59	1	31	2	8	182	253	108	116	49	0	0	0	1	1	0	0	0	4	3	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	COMP	1	31
713	2025/11/06-07:19:53	2025/11/06-07:32:22	0:12:29	1	32	2	8	182	253	108	116	49	1	0	0	0	1	4	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	COMP	1	32
714	2025/11/02-08:54:37	2025/11/02-09:02:53	0:8:16	1	38	2	8	182	253	108	116	49	1	1	0	1	0	3	4	0	5	0	0	4	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	COMP	1	38
715	2025/11/05-20:16:01	2025/11/05-20:28:38	0:12:37	1	30	2	8	182	253	108	116	49	1	1	1	1	0	3	4	5	3	0	0	2	5	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	COMP	1	30
716	2025/11/04-20:17:19	2025/11/04-20:25:15	0:7:56	1	35	2	8	182	253	108	116	49	0	0	1	1	0	0	0	3	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	COMP	1	35
717	2025/11/02-19:48:14	2025/11/02-19:59:00	0:10:46	1	33	2	8	182	253	108	116	49	1	1	1	0	1	2	5	2	0	5	0	5	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	COMP	1	33
718	2025/11/02-10:48:43	2025/11/02-11:02:01	0:13:18	1	33	2	8	182	253	108	116	49	0	1	1	1	1	0	3	3	3	5	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	COMP	1	33
719	2025/11/06-00:25:28	2025/11/06-00:34:23	0:8:55	1	36	2	8	182	253	108	116	49	1	1	1	1	0	3	4	2	4	0	0	3	0	3	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	COMP	1	36
720	2025/11/06-03:54:23	2025/11/06-03:59:57	0:5:34	1	30	2	8	182	253	108	116	49	1	1	1	0	1	3	4	2	0	5	0	1	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	COMP	1	30
721	2025/11/06-07:13:41	2025/11/06-07:24:33	0:10:52	1	40	3	8	182	253	108	116	49	1	1	1	1	0	3	5	4	3	0	0	2	2	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	COMP	1	40
722	2025/11/06-10:58:21	2025/11/06-11:02:28	0:4:7	1	49	3	8	182	253	108	116	49	0	0	1	0	1	0	0	5	0	3	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	COMP	1	49
723	2025/11/06-10:38:19	2025/11/06-10:53:12	0:14:53	1	47	3	8	182	253	108	116	49	1	1	0	1	0	3	4	0	4	0	0	1	0	4	0	0	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	COMP	1	47
724	2025/11/03-08:43:57	2025/11/03-08:51:06	0:7:9	1	47	3	8	182	253	108	116	49	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	47
725	2025/11/02-23:28:36	2025/11/02-23:38:17	0:9:41	1	48	3	8	182	253	108	116	49	1	1	1	1	1	4	4	3	3	2	1	5	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	COMP	1	48
726	2025/11/03-09:32:07	2025/11/03-09:40:42	0:8:35	1	47	3	8	182	253	108	116	49	0	1	1	0	1	0	3	3	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	COMP	1	47
727	2025/11/06-22:43:01	2025/11/06-22:56:43	0:13:42	1	47	3	8	182	253	108	116	49	0	1	0	1	1	0	2	0	4	5	0	0	0	2	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	COMP	1	47
728	2025/11/06-09:09:10	2025/11/06-09:22:10	0:13:0	1	41	3	8	182	253	108	116	49	1	1	0	1	1	3	4	0	5	3	0	5	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	COMP	1	41
729	2025/11/02-21:24:29	2025/11/02-21:29:16	0:4:47	1	40	3	8	182	253	108	116	49	0	0	1	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	40
730	2025/11/05-17:27:18	2025/11/05-17:33:11	0:5:53	1	49	3	8	182	253	108	116	49	0	1	1	1	1	0	3	1	4	3	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	COMP	1	49
731	2025/11/03-12:26:07	2025/11/03-12:33:19	0:7:12	1	54	4	8	182	253	108	116	49	0	0	1	1	0	0	0	2	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	COMP	1	54
732	2025/11/02-01:04:50	2025/11/02-01:13:44	0:8:54	1	52	4	8	182	253	108	116	49	1	1	1	1	0	2	3	2	5	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	COMP	1	52
733	2025/11/06-20:46:19	2025/11/06-20:52:35	0:6:16	1	57	4	8	182	253	108	116	49	1	1	1	1	0	1	3	4	4	0	0	0	5	5	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	COMP	1	57
734	2025/11/04-17:58:02	2025/11/04-18:12:30	0:14:28	1	54	4	8	182	253	108	116	49	0	0	0	1	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	COMP	1	54
735	2025/11/03-05:36:49	2025/11/03-05:48:04	0:11:15	1	50	4	8	182	253	108	116	49	1	0	1	1	1	3	0	4	3	3	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	COMP	1	50
736	2025/11/04-08:49:12	2025/11/04-08:57:05	0:7:53	1	50	4	8	182	253	108	116	49	1	1	0	1	0	4	3	0	5	0	4	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	COMP	1	50
737	2025/11/03-01:50:16	2025/11/03-02:05:14	0:14:58	1	51	4	8	182	253	108	116	49	0	1	1	1	1	0	4	4	4	3	0	5	5	5	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	COMP	1	51
738	2025/11/05-14:21:12	2025/11/05-14:28:00	0:6:48	1	59	4	8	182	253	108	116	49	1	1	1	1	1	4	4	3	1	4	5	4	0	0	4	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	0	COMP	1	59
739	2025/11/02-00:48:18	2025/11/02-00:53:44	0:5:26	1	52	4	8	182	253	108	116	49	0	1	1	1	1	0	4	3	2	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	52
740	2025/11/02-07:55:21	2025/11/02-08:09:29	0:14:8	1	57	4	8	182	253	108	116	49	0	1	0	1	1	0	3	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	57
741	2025/11/02-22:53:54	2025/11/02-23:08:14	0:14:20	1	61	5	8	182	253	108	116	49	1	0	0	1	1	2	0	0	4	5	0	0	0	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	COMP	1	61
742	2025/11/02-18:45:30	2025/11/02-18:51:39	0:6:9	1	65	5	8	182	253	108	116	49	1	1	0	1	1	2	3	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	1	65
743	2025/11/02-23:01:52	2025/11/02-23:11:32	0:9:40	1	64	5	8	182	253	108	116	49	0	0	1	1	0	0	0	3	4	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	COMP	1	64
744	2025/11/05-23:42:12	2025/11/05-23:51:41	0:9:29	1	61	5	8	182	253	108	116	49	1	0	0	1	1	5	0	0	3	4	4	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	COMP	1	61
745	2025/11/03-15:06:33	2025/11/03-15:11:31	0:4:58	1	66	5	8	182	253	108	116	49	0	0	1	1	0	0	0	3	5	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	COMP	1	66
746	2025/11/05-10:18:19	2025/11/05-10:32:09	0:13:50	1	60	5	8	182	253	108	116	49	0	1	1	1	1	0	3	2	3	4	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	COMP	1	60
747	2025/11/02-20:46:11	2025/11/02-20:56:37	0:10:26	1	68	5	8	182	253	108	116	49	1	1	1	1	1	2	4	3	4	4	0	5	0	5	2	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	COMP	1	68
748	2025/11/02-11:54:30	2025/11/02-12:00:38	0:6:8	1	69	5	8	182	253	108	116	49	1	1	1	1	1	4	3	3	2	3	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	COMP	1	69
749	2025/11/07-00:34:19	2025/11/07-00:42:33	0:8:14	1	63	5	8	182	253	108	116	49	1	1	0	1	1	3	4	0	5	4	0	4	0	5	5	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	1	COMP	1	63
750	2025/11/07-08:02:40	2025/11/07-08:17:26	0:14:46	1	62	5	8	182	253	108	116	49	1	1	0	1	0	4	3	0	3	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	COMP	1	62
751	2025/11/03-15:56:38	2025/11/03-16:05:53	0:9:15	2	21	1	8	182	253	108	116	49	1	1	1	1	0	5	1	3	3	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	COMP	2	21
752	2025/11/04-04:49:11	2025/11/04-05:03:35	0:14:24	2	21	1	8	182	253	108	116	49	0	1	0	1	1	0	1	0	5	4	0	0	0	5	5	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	1	1	COMP	2	21
753	2025/11/05-00:21:36	2025/11/05-00:33:21	0:11:45	2	27	1	8	182	253	108	116	49	1	0	0	1	1	4	0	0	5	3	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	COMP	2	27
754	2025/11/04-04:14:30	2025/11/04-04:27:02	0:12:32	2	25	1	8	182	253	108	116	49	0	0	0	1	1	0	0	0	3	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	COMP	2	25
755	2025/11/04-13:17:38	2025/11/04-13:21:51	0:4:13	2	29	1	8	182	253	108	116	49	1	1	1	1	1	3	2	5	4	5	0	0	4	4	5	0	0	1	1	1	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	0	0	1	0	COMP	2	29
756	2025/11/03-20:18:51	2025/11/03-20:26:10	0:7:19	2	21	1	8	182	253	108	116	49	1	0	0	1	1	4	0	0	4	3	5	0	0	5	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	COMP	2	21
757	2025/11/04-00:24:19	2025/11/04-00:29:06	0:4:47	2	24	1	8	182	253	108	116	49	1	1	0	1	0	4	5	0	2	0	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	COMP	2	24
758	2025/11/06-00:47:20	2025/11/06-00:55:03	0:7:43	2	24	1	8	182	253	108	116	49	1	1	1	1	1	3	3	2	2	4	0	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	COMP	2	24
759	2025/11/06-19:32:31	2025/11/06-19:45:58	0:13:27	2	26	1	8	182	253	108	116	49	1	1	1	1	1	2	2	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	2	26
760	2025/11/02-04:52:42	2025/11/02-05:03:39	0:10:57	2	27	1	8	182	253	108	116	49	1	1	1	1	1	3	2	3	2	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	COMP	2	27
761	2025/11/02-22:10:21	2025/11/02-22:24:17	0:13:56	2	35	2	8	182	253	108	116	49	0	1	1	1	0	0	3	2	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	COMP	2	35
762	2025/11/05-11:26:10	2025/11/05-11:37:57	0:11:47	2	34	2	8	182	253	108	116	49	1	1	1	0	1	2	2	4	0	5	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	COMP	2	34
763	2025/11/03-23:36:18	2025/11/03-23:47:11	0:10:53	2	31	2	8	182	253	108	116	49	0	0	1	1	1	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	2	31
764	2025/11/03-21:49:57	2025/11/03-21:54:28	0:4:31	2	37	2	8	182	253	108	116	49	0	1	1	1	0	0	2	3	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	COMP	2	37
765	2025/11/04-18:43:25	2025/11/04-18:47:42	0:4:17	2	37	2	8	182	253	108	116	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	2	37
766	2025/11/06-18:13:11	2025/11/06-18:19:11	0:6:0	2	31	2	8	182	253	108	116	49	0	0	1	1	1	0	0	4	1	2	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	COMP	2	31
767	2025/11/05-04:48:06	2025/11/05-04:53:20	0:5:14	2	32	2	8	182	253	108	116	49	0	1	1	0	1	0	4	4	0	2	0	3	4	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	COMP	2	32
768	2025/11/06-19:55:31	2025/11/06-20:00:12	0:4:41	2	30	2	8	182	253	108	116	49	0	0	1	1	1	0	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	2	30
769	2025/11/03-17:41:38	2025/11/03-17:46:42	0:5:4	2	34	2	8	182	253	108	116	49	0	1	0	1	1	0	2	0	4	4	0	0	0	5	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	COMP	2	34
770	2025/11/02-10:48:18	2025/11/02-11:03:02	0:14:44	2	31	2	8	182	253	108	116	49	1	0	0	1	1	4	0	0	4	3	2	0	0	4	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	1	0	0	1	0	COMP	2	31
771	2025/11/05-21:37:27	2025/11/05-21:49:50	0:12:23	2	40	3	8	182	253	108	116	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	2	40
772	2025/11/04-19:20:43	2025/11/04-19:34:59	0:14:16	2	40	3	8	182	253	108	116	49	1	0	1	0	1	3	0	3	0	5	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	COMP	2	40
773	2025/11/02-14:30:30	2025/11/02-14:40:23	0:9:53	2	45	3	8	182	253	108	116	49	0	1	1	0	1	0	4	5	0	5	0	4	4	0	5	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	COMP	2	45
774	2025/11/01-15:57:33	2025/11/01-16:03:57	0:6:24	2	47	3	8	182	253	108	116	49	0	1	1	0	1	0	2	3	0	4	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	COMP	2	47
775	2025/11/05-20:54:13	2025/11/05-21:06:44	0:12:31	2	46	3	8	182	253	108	116	49	0	1	1	1	1	0	4	4	4	3	0	5	5	5	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	1	1	0	0	1	0	1	0	COMP	2	46
776	2025/11/03-10:17:36	2025/11/03-10:25:30	0:7:54	2	41	3	8	182	253	108	116	49	0	1	0	1	1	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	2	41
777	2025/11/02-02:19:47	2025/11/02-02:31:31	0:11:44	2	48	3	8	182	253	108	116	49	1	1	0	1	0	5	1	0	3	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	COMP	2	48
778	2025/11/02-17:36:32	2025/11/02-17:51:16	0:14:44	2	47	3	8	182	253	108	116	49	1	0	1	1	0	2	0	4	2	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	COMP	2	47
779	2025/11/07-07:58:14	2025/11/07-08:11:58	0:13:44	2	43	3	8	182	253	108	116	49	1	1	0	1	0	3	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	2	43
780	2025/11/05-12:18:12	2025/11/05-12:26:46	0:8:34	2	49	3	8	182	253	108	116	49	1	0	1	1	0	4	0	3	5	0	3	0	0	4	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	COMP	2	49
781	2025/11/05-01:47:54	2025/11/05-02:00:38	0:12:44	2	53	4	8	182	253	108	116	49	0	1	1	1	1	0	2	1	3	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	COMP	2	53
782	2025/11/04-15:32:12	2025/11/04-15:39:23	0:7:11	2	54	4	8	182	253	108	116	49	1	0	1	1	0	3	0	4	4	0	0	0	2	4	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	COMP	2	54
783	2025/11/05-22:11:32	2025/11/05-22:16:11	0:4:39	2	57	4	8	182	253	108	116	49	0	1	0	1	1	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	2	57
784	2025/11/06-17:35:57	2025/11/06-17:40:27	0:4:30	2	58	4	8	182	253	108	116	49	0	0	0	1	1	0	0	0	4	3	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	COMP	2	58
785	2025/11/03-00:04:38	2025/11/03-00:12:55	0:8:17	2	56	4	8	182	253	108	116	49	1	1	1	1	1	4	4	2	4	4	2	5	0	3	5	1	0	0	0	1	1	1	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	COMP	2	56
786	2025/11/03-11:00:01	2025/11/03-11:13:03	0:13:2	2	55	4	8	182	253	108	116	49	0	0	1	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	COMP	2	55
787	2025/11/01-11:16:35	2025/11/01-11:30:59	0:14:24	2	51	4	8	182	253	108	116	49	1	1	0	0	1	4	3	0	0	5	5	0	0	0	5	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	COMP	2	51
788	2025/11/06-11:07:28	2025/11/06-11:17:40	0:10:12	2	58	4	8	182	253	108	116	49	1	1	1	1	1	3	3	3	2	5	0	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	COMP	2	58
789	2025/11/07-04:46:51	2025/11/07-05:01:26	0:14:35	2	50	4	8	182	253	108	116	49	1	0	0	1	1	2	0	0	5	3	0	0	0	4	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	COMP	2	50
790	2025/11/04-05:52:09	2025/11/04-06:05:43	0:13:34	2	58	4	8	182	253	108	116	49	1	0	1	1	1	5	0	5	1	3	4	0	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	COMP	2	58
791	2025/11/03-04:29:38	2025/11/03-04:36:29	0:6:51	2	62	5	8	182	253	108	116	49	1	0	1	0	0	3	0	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	COMP	2	62
792	2025/11/04-10:06:48	2025/11/04-10:12:59	0:6:11	2	62	5	8	182	253	108	116	49	1	0	1	1	1	4	0	3	3	4	4	0	0	0	5	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	COMP	2	62
793	2025/11/02-15:20:32	2025/11/02-15:24:37	0:4:5	2	62	5	8	182	253	108	116	49	1	1	1	1	1	3	1	3	4	2	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	COMP	2	62
794	2025/11/03-22:36:51	2025/11/03-22:48:30	0:11:39	2	62	5	8	182	253	108	116	49	0	0	0	1	1	0	0	0	3	4	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	COMP	2	62
795	2025/11/02-16:48:44	2025/11/02-16:55:41	0:6:57	2	68	5	8	182	253	108	116	49	0	0	1	1	0	0	0	3	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	COMP	2	68
796	2025/11/04-12:40:15	2025/11/04-12:48:25	0:8:10	2	67	5	8	182	253	108	116	49	1	1	1	1	1	4	1	3	2	5	4	0	0	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	COMP	2	67
797	2025/11/01-22:08:28	2025/11/01-22:21:11	0:12:43	2	68	5	8	182	253	108	116	49	0	0	0	1	1	0	0	0	3	4	0	0	0	0	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	COMP	2	68
